,種類,題目,A,B,C,D,答案
185,ウルトラマン,ウルトラマンのエピソード「ケムール人」で、ケムール人が地球に来た理由は？,資源の採掘,科学の研究,人類の支配,環境の破壊,C
186,ウルトラマン,ウルトラマンが変身するために使用するアイテムの形状は？,丸いディスク,長方形のカプセル,五角形のメダル,円筒形の筒,B
187,ウルトラマン,ウルトラマンのエピソード「ジャミラ」で、ジャミラが変身した姿はどのような姿か？,巨大な怪獣,人間の姿,小さな宇宙船,中型のロボット,B
188,ウルトラマン,ウルトラマンのエピソード「ダダ」で、ダダが最初に現れる場所はどこか？,森,海,都市,山,C
189,ウルトラマン,ウルトラマンのエピソード「ゼットン」で、ゼットンが地球に来た目的は？,人類の侵略,資源の採取,環境の破壊,科学技術の奪取,A
190,ウルトラマン,ウルトラマンが使用する「スペシウム光線」の効果は？,対象を瞬時に消失させる,物体を固定する,体力を回復させる,短距離移動する,A
191,ウルトラマン,ウルトラマンのエピソード「バルタン星人」で、バルタン星人の変身能力を持つものは？,小さな宇宙船,巨大な怪獣,小さな怪獣,人間の姿,D
192,ウルトラマン,ウルトラマンのエピソード「ゴモラ」で、ゴモラが主に攻撃する方法は？,火を吹く,巨大な石を投げる,突進する,体を巨大化させる,B
193,ウルトラマン,ウルトラマンがエネルギーを放つ技術で、どのようなエネルギーを使用する？,光線,火炎,磁力,音波,A
194,ウルトラマン,ウルトラマンのエピソード「怪獣無宿」で、怪獣たちの行動が引き起こす問題は？,環境の破壊,大規模な火災,都市の崩壊,自然災害,C
195,ウルトラマン,ウルトラマンが変身するためのアイテムはどのように使用する？,胸ポケットに入れる,手のひらに持つ,ベルトに取り付ける,手袋に取り付ける,C
196,ウルトラマン,ウルトラマンのエピソード「ケムール人」で、ケムール人の特徴的な能力は？,瞬間移動,火を吹く,透明になる,巨大化する,C
197,ウルトラマン,ウルトラマンのエピソード「ジャミラ」で、ジャミラの変身前の姿は？,軍人,科学者,医師,宇宙飛行士,D
198,ウルトラマン,ウルトラマンが使用する「ウルトラバリア」で、主な防御対象は？,光線,巨大な物体,突進攻撃,音波,C
199,ウルトラマン,. ウルトラマンのエピソード「ダダ」で、ダダの特技は何？,体を分裂させる,瞬間移動,火を吹く,光線を発射する,A
200,ウルトラセブン,ウルトラセブンが初登場したエピソードのタイトルは？,地球のSOS,ウルトラ警備隊西へ,宇宙人15+1,宇宙囚人303,A
201,ウルトラセブン,ウルトラセブンの変身前の人間の姿は？,ダン・モロボシ,シン・ハヤタ,アマギ隊員,イデ隊員,A
202,ウルトラセブン,ウルトラセブンが使用する最も有名な武器は？,アイ・スラッガー,スペシウム光線,ウルトラスパーク,ワイドショット,A
203,ウルトラセブン,ウルトラセブンが所属する組織の名前は？,宇宙警備隊,地球防衛軍,ウルトラ警備隊,特捜隊,C
204,ウルトラセブン,ウルトラセブンのエピソード「ノンマルトの使者」で、ノンマルトが主張していることは何か？,地球は彼らのものだ,人類を保護するべきだ,宇宙人との平和を求める,自然を守ることが大事だ,A
205,ウルトラセブン,ウルトラセブンが地球に来た理由は？,地球を守るため,宇宙人と戦うため,観察任務,科学研究のため,C
206,ウルトラセブン,ウルトラセブンが戦う際に使用する「エメリウム光線」は、どの部分から発射されるか？,目,口,胸,手,A
207,ウルトラセブン,ウルトラセブンのエピソード「ダーク・ゾーン」で、セブンが対峙した怪獣の名前は？,メトロン星人,ペダン星人,イカルス星人,ガッツ星人,A
208,ウルトラセブン,ウルトラセブンの主題歌を歌った歌手の名前は？,ささきいさお,ボーカル・ショップ,子門真人,村井邦彦,B
209,ウルトラセブン,ウルトラセブンが地球防衛軍に協力して戦う際に、隊員たちが使用する移動手段は？,ビートル,ポインター,マットアロー,スカイホエール,B
210,ウルトラセブン,ウルトラセブンのエピソード「第四惑星の悪夢」で、第四惑星の住民が目指していることは何か？,地球の侵略,他の惑星との共存,永遠の平和,宇宙の支配,A
211,ウルトラセブン,ウルトラセブンの必殺技「アイ・スラッガー」は、どこから飛んでいくか？,手,頭,胸,足,B
212,ウルトラセブン,ウルトラセブンのエピソード「ウルトラ警備隊西へ」で、ウルトラ警備隊が向かった場所はどこか？,北極,南極,ヨーロッパ,アメリカ,D
213,ウルトラセブン,ウルトラセブンの変身アイテムの名前は？,ウルトラアイ,ベータカプセル,フラッシュビーム,クリスタルグローブ,A
214,ウルトラセブン,ウルトラセブンのエピソード「アンドロイド0指令」で、アンドロイドたちが持つ計画は？,地球の支配,宇宙の征服,人類の抹殺,環境破壊,C
215,ウルトラセブン,ウルトラセブンが使用する「エメリウム光線」の色は？,青,赤,緑,黄色,C
216,ウルトラセブン,ウルトラセブンのエピソード「人間牧場」で、人間を集めている宇宙人の名前は？,ポール星人,ゴース星人,メトロン星人,バルタン星人,A
217,ウルトラセブン,ウルトラセブンのエピソード「宇宙人15+1」で、宇宙人たちが目指していることは？,地球の破壊,宇宙の平和,人類との共存,自分たちの星を再建する,A
218,ウルトラセブン,ウルトラセブンのエピソード「怪しい隣人」で、隣人が実際に正体を隠していたものは何か？,ロボット,宇宙人,怪獣,スパイ,B
219,ウルトラセブン,ウルトラセブンのエピソード「盗まれたウルトラ・アイ」で、ウルトラ・アイが盗まれた際、ダンが直面した危機は？,変身できなくなる,エネルギーが切れる,記憶を失う,捕虜になる,A
220,ウルトラセブン,ウルトラセブンが戦う際に使用する「ワイドショット」は、どのような技か？,強力な光線を放つ,敵を切り裂く,瞬時に移動する,巨大化する,A
221,ウルトラセブン,ウルトラセブンのエピソード「セブン暗殺計画」で、ウルトラセブンを暗殺しようとする宇宙人の名前は？,イカルス星人,ガッツ星人,ペダン星人,キュラソ星人,A
222,ウルトラセブン,ウルトラセブンのエピソード「湖の秘密」で、湖に潜む怪獣の名前は？,ガンダー,クレージゴン,キュラソ星人,ウインダム,A
223,ウルトラセブン,ウルトラセブンのエピソード「ノンマルトの使者」で、ノンマルトがどこから来た存在か？,海底,宇宙,地下,他の惑星,A
224,ウルトラセブン,ウルトラセブンのエピソード「宇宙囚人303」で、囚人が何を目指していたか？,地球の征服,自由を手に入れる,宇宙の支配,他の囚人を解放する,B
225,ウルトラセブン,ウルトラセブンのエピソード「第四惑星の悪夢」で、第四惑星が使用していた兵器の名前は？,ミサイル,レーザー,ビームガン,ロボット兵器,D
226,ウルトラセブン,ウルトラセブンのエピソード「ウルトラ警備隊西へ」で、セブンと共に戦うことになる怪獣の名前は？,エレキング,ガッツ星人,メトロン星人,マグマ星人,A
227,ウルトラセブン,ウルトラセブンのエピソード「ペガッサ星人」で、ペガッサ星人が持っていた惑星の名前は？,ペガッサシティ,ペガッサシステム,ペガッサホール,ペガッサスター,A
228,ウルトラセブン,ウルトラセブンが持つ「ワイドショット」は、どのように発射される技か？,手を前に出して発射,両腕を広げて発射,頭部から発射,胸から発射,B
229,ウルトラセブン,ウルトラセブンのエピソード「怪奇！巨大ロボット」で、セブンが戦った巨大ロボットの名前は？,キングジョー,ジャイアント,ガンダー,メカニコング,A
230,ウルトラセブン,ウルトラセブンのエピソード「侵略する死者たち」で、敵対する宇宙人の名前は？,メトロン星人,ギエロン星獣,シャドー星人,ガッツ星人,C
231,ウルトラセブン,ウルトラセブンのエピソード「ノンマルトの使者」で、ノンマルトが現れるのはどの場所か？,山中,海底,空中,地下,B
232,ウルトラセブン,ウルトラセブンのエピソード「悪魔の住む花」で、悪魔が宿る花の名前は？,メフィラスフラワー,デビルフラワー,キングフラワー,ポールフラワー,B
233,ウルトラセブン,ウルトラセブンのエピソード「セブン暗殺計画」で、セブンを暗殺しようとした宇宙人の名前は？,マグマ星人,イカルス星人,ペガッサ星人,ガッツ星人,B
234,ウルトラセブン,ウルトラセブンのエピソード「盗まれたウルトラ・アイ」で、ウルトラ・アイを盗んだ宇宙人は？,ダーク星人,キングジョー,マグマ星人,ガッツ星人,D
235,ウルトラセブン,ウルトラセブンのエピソード「湖のひみつ」で、湖の底に潜む怪獣は？,エレキング,ガンダー,キングジョー,ウィンダム,B
236,ウルトラセブン,ウルトラセブンのエピソード「消された時間」で、時間を操る能力を持つ宇宙人は？,メトロン星人,バド星人,ナース,ギエロン星獣,B
237,ウルトラセブン,ウルトラセブンのエピソード「宇宙人15+1」で、15人の宇宙人が連れてきた怪獣は？,ガンダー,ペギラ,ガッツ星人,キングジョー,D
238,ウルトラセブン,ウルトラセブンのエピソード「マックス号応答せよ」で、マックス号が捕らえられた宇宙人の名前は？,マグマ星人,シャドー星人,キュラソ星人,イカルス星人,A
239,ウルトラセブン,ウルトラセブンのエピソード「侵略する死者たち」で、ウルトラセブンが使った最終兵器の名前は？,ウルトラスラッシュ,アイ・スラッガー,ワイドショット,エメリウム光線,C
240,ウルトラセブン,ウルトラセブンのエピソード「ノンマルトの使者」で、ノンマルトの正体は？,古代人類,宇宙人,海洋生物,地底人,A
241,ウルトラセブン,ウルトラセブンのエピソード「第四惑星の悪夢」で、セブンが戦ったロボット兵器の名前は？,ゼットン,キングジョー,ゴモラ,テペト,B
242,ウルトラセブン,ウルトラセブンのエピソード「狙われた街」で、セブンが対峙した都市がどこにあるか？,東京,大阪,名古屋,札幌,A
243,ウルトラセブン,ウルトラセブンのエピソード「アンドロイド0指令」で、アンドロイドたちが目指した目標は？,地球の支配,宇宙の征服,人類の排除,科学技術の奪取,C
244,ウルトラセブン,ウルトラセブンのエピソード「湖のひみつ」で、怪獣ガンダーが潜む場所は？,火山,海底,森林,湖の底,D
245,ウルトラセブン,ウルトラセブンのエピソード「悪魔の住む花」で、花がもたらす悪影響は？,強力な毒素,時間の遅延,精神操作,エネルギー吸収,C
246,ウルトラセブン,ウルトラセブンのエピソード「セブン暗殺計画」で、セブンを狙った宇宙人の名前は？,キングジョー,イカルス星人,バド星人,メトロン星人,B
247,ウルトラセブン,ウルトラセブンのエピソード「ノンマルトの使者」で、ノンマルトが人間に伝えたメッセージは？,地球は私たちのもの,宇宙人との共存,地球の自然を守れ,すべての生物を保護せよ,A
248,ウルトラセブン,ウルトラセブンのエピソード「第四惑星の悪夢」で、第四惑星の兵器を無力化するためにセブンが使った技は？,アイ・スラッガー,エメリウム光線,ワイドショット,ウルトラスラッシュ,C
249,ウルトラセブン,ウルトラセブンが人間体に戻る際に使うアイテムは？,ウルトラ・アイ,ベータカプセル,フラッシュビーム,ウルトラスティック,A
250,ウルトラセブン,ウルトラセブンのエピソード「闇に光る目」で、セブンが遭遇した敵の特徴は何か？,怪獣の大きな目,光を吸収する能力,念力で操る目,闇の中で光る目,D
251,ウルトラセブン,ウルトラセブンが「キングジョー」との戦いで苦戦した原因は何か？,キングジョーの強力な防御力,キングジョーの速さ,キングジョーの超能力,キングジョーの巨大さ,A
252,ウルトラセブン,ウルトラセブンのエピソード「マックス号応答せよ」で、マックス号を使って宇宙人が行った作戦は？,人類を洗脳する,他の惑星を攻撃する,地球の通信を遮断する,ウルトラ警備隊を罠にかける,D
253,ウルトラセブン,ウルトラセブンのエピソード「ノンマルトの使者」で、ノンマルトが地球に存在する理由は？,侵略目的,人類との共存,古代からの居住者,資源の採掘,C
254,ウルトラセブン,ウルトラセブンのエピソード「ウルトラ警備隊西へ」で、ウルトラ警備隊が使用した飛行機の名前は？,ポインター,マックス号,マグマライザー,テラホーク,B
255,ウルトラセブン,ウルトラセブンのエピソード「ペガッサ星人」で、ペガッサ星人が持つ武器は？,重力波,レーザーガン,電磁波,マイクロ波,A
256,ウルトラセブン,ウルトラセブンのエピソード「地底GO!GO!GO!」で、ウルトラ警備隊が地底に潜入するために使用したビークルは？,タンク,ジェットモグラ,サブマリン,ホバートラック,B
257,ウルトラセブン,ウルトラセブンのエピソード「最終決戦」で、セブンが最も危険と判断した敵は誰？,キングジョー,ゴーロン星人,ゴドラ星人,イカルス星人,C
258,ウルトラセブン,ウルトラセブンのエピソード「湖のひみつ」で、湖に潜む怪獣ガンダーの攻撃方法は？,炎,電撃,超音波,体当たり,B
259,ウルトラセブン,ウルトラセブンのエピソード「狙われた街」で、メトロン星人が用いた人間を操る手段は？,煙草,飲料水,空気,食べ物,A
260,ウルトラセブン,ウルトラセブンのエピソード「盗まれたウルトラ・アイ」で、ウルトラ・アイを盗んだのは誰？,ガッツ星人,シャプレー星人,キュラソ星人,ポール星人,A
261,ウルトラセブン,ウルトラセブンのエピソード「宇宙からの贈り物」で、宇宙から降ってきた贈り物は何だった？,謎の金属,宇宙植物,不明な生物,高性能エネルギー,B
262,ウルトラセブン,ウルトラセブンのエピソード「超兵器R1号」で、R1号を開発した科学者の名前は？,ギエロン星人,秋月博士,藤川博士,森村博士,B
263,ウルトラセブン,ウルトラセブンのエピソード「円盤が来た」で、円盤が到着した場所はどこ？,富士山,東京湾,北海道,沖縄,B
264,ウルトラセブン,ウルトラセブンのエピソード「ノンマルトの使者」で、ノンマルトが使った武器は何？,音波,レーザー,水中ミサイル,超能力,C
265,ウルトラセブン,ウルトラセブンのエピソード「恐怖の超猿人」で、超猿人を作り出したのは誰？,ポール星人,シャドー星人,メトロン星人,イカルス星人,B
266,ウルトラセブン,ウルトラセブンのエピソード「第4惑星の悪夢」で、第4惑星の住民が使用した兵器は？,ロボット兵器,超音波砲,レーザー砲,電磁波砲,A
267,ウルトラセブン,ウルトラセブンのエピソード「宇宙囚人303」で、囚人が狙っていたのは何？,自由,地球征服,宇宙支配,エネルギー資源,A
268,ウルトラセブン,ウルトラセブンのエピソード「恐怖の超猿人」で、超猿人が持つ特技は何？,高い知能,瞬間移動,超怪力,炎のブレス,C
269,ウルトラセブン,ウルトラセブンのエピソード「ノンマルトの使者」で、ノンマルトが人類に対して主張したことは？,地球はノンマルトのものである,宇宙の平和を求める,他の惑星への移住を要求する,地球の自然を守るべき,A
270,ウルトラセブン,ウルトラセブンのエピソード「ノンマルトの使者」で、ノンマルトが住んでいた場所はどこ？,地下,海底,山中,宇宙,B
271,ウルトラセブン,ウルトラセブンのエピソード「最終決戦」で、セブンが使った最後の技は？,ワイドショット,アイ・スラッガー,エメリウム光線,ウルトラスラッシュ,A
272,ウルトラセブン,ウルトラセブンのエピソード「盗まれたウルトラ・アイ」で、セブンがウルトラ・アイを取り戻した方法は？,直接戦闘,潜入作戦,仲間の助け,敵の罠を逆利用,C
273,ウルトラセブン,ウルトラセブンのエピソード「第4惑星の悪夢」で、第4惑星の住民が抱いていた恐怖は何か？,他の惑星からの侵略,ロボット兵器の反乱,資源の枯渇,人類との接触,B
274,ウルトラセブン,ウルトラセブンのエピソード「湖のひみつ」で、怪獣ガンダーが潜む湖の名前は？,琵琶湖,猪苗代湖,阿寒湖,霞ヶ浦,C
275,ウルトラセブン,ウルトラセブンのエピソード「ノンマルトの使者」で、ノンマルトが地球の支配権を主張した理由は？,先住民族だったため,宇宙人の指示で,資源を守るため,人類を滅ぼすため,A
276,ウルトラセブン,ウルトラセブンのエピソード「盗まれたウルトラ・アイ」で、ガッツ星人がウルトラ・アイを盗んだ目的は何か？,ウルトラセブンを無力化するため,宇宙征服のための武器にするため,交渉材料として利用するため,ウルトラ警備隊に復讐するため,A
277,ウルトラセブン,ウルトラセブンのエピソード「超兵器R1号」で、R1号がもたらした問題は何か？,惑星の破壊,人類への反逆,宇宙人の報復,環境汚染,C
278,ウルトラセブン,ウルトラセブンのエピソード「狙われた街」で、メトロン星人が人間に与えた害は何か？,精神異常,体の硬化,激しい眠気,失明,A
279,ウルトラセブン,ウルトラセブンのエピソード「第四惑星の悪夢」で、第四惑星の住民が頼りにしていたロボット兵器の名前は？,キングジョー,アイアンキング,ロボットキング,メカゴジラ,A
280,ウルトラセブン,ウルトラセブンのエピソード「湖のひみつ」で、怪獣ガンダーがウルトラセブンに対して使った攻撃は？,炎のブレス,超音波攻撃,水中ミサイル,電撃攻撃,D
281,ウルトラセブン,ウルトラセブンのエピソード「宇宙囚人303」で、囚人303が地球に逃げてきた理由は？,宇宙警察から逃れるため,地球を支配するため,他の宇宙人に追われていたため,宇宙船が故障したため,A
282,ウルトラセブン,ウルトラセブンのエピソード「悪魔の住む花」で、デビルフラワーの能力は何か？,毒素を放つ,幻覚を見せる,精神を操る,時間を止める,C
283,ウルトラセブン,ウルトラセブンのエピソード「ノンマルトの使者」で、ノンマルトが生息していた場所は？,海底都市,地下洞窟,空中要塞,宇宙船内,A
284,ウルトラセブン,ウルトラセブンのエピソード「宇宙からの贈り物」で、贈り物として送られたものがもたらした影響は何か？,怪獣を引き寄せる,天候を操る,人間を狂わせる,植物が巨大化する,D
285,ウルトラセブン,ウルトラセブンのエピソード「超兵器R1号」で、R1号の開発に反対したウルトラ警備隊員は誰？,フルハシ隊員,ソガ隊員,アンヌ隊員,キリヤマ隊長,C
286,ウルトラセブン,ウルトラセブンのエピソード「恐怖の超猿人」で、超猿人が人類に対して行った行動は？,侵略,破壊活動,同化,洗脳,B
287,ウルトラセブン,ウルトラセブンのエピソード「湖のひみつ」で、ウルトラセブンがガンダーを倒すために使用した技は？,アイ・スラッガー,ワイドショット,エメリウム光線,ウルトラスラッシュ,C
288,ウルトラセブン,ウルトラセブンのエピソード「第四惑星の悪夢」で、第四惑星の住民がロボット兵器に依存した理由は？,自然災害を防ぐため,効率的な防衛手段として,他の惑星を侵略するため,労働力として利用するため,B
289,ウルトラセブン,ウルトラセブンのエピソード「悪魔の住む花」で、ウルトラセブンがデビルフラワーに対抗するために行ったことは？,花を燃やす,特殊な光を当てる,水で浸す,氷で冷やす,B
290,ウルトラセブン,ウルトラセブンのエピソード「超兵器R1号」で、R1号を使うことで宇宙人が引き起こした出来事は？,地球への攻撃,自己崩壊,惑星間戦争,地球の環境破壊,A
291,ウルトラセブン,ウルトラセブンのエピソード「円盤が来た」で、円盤が持っていた兵器は何か？,レーザー砲,電磁波兵器,核ミサイル,サイコガン,B
292,ウルトラセブン,ウルトラセブンのエピソード「ノンマルトの使者」で、ノンマルトが地球人に伝えた言葉は何か？,共存の道を探れ,戦争をやめろ,地球から去れ,すべての命を尊重せよ,C
293,ウルトラセブン,ウルトラセブンのエピソード「狙われた街」で、メトロン星人の計画を阻止したセブンの手段は？,ステルス作戦,正面からの戦闘,メトロン星人の基地を破壊,メトロン星人を説得,B
294,ウルトラセブン,ウルトラセブンのエピソード「盗まれたウルトラ・アイ」で、ウルトラ警備隊がガッツ星人に対して行った対策は？,罠を仕掛ける,ウルトラセブンを助けるための作戦を立てる,ウルトラ・アイの代用品を作る,ガッツ星人と交渉する,B
295,ウルトラセブン,ウルトラセブンのエピソード「超兵器R1号」で、R1号の発射に反対した人物は誰？,ダン・モロボシ,キリヤマ隊長,ソガ隊員,フルハシ隊員,A
296,ウルトラセブン,ウルトラセブンのエピソード「宇宙囚人303」で、囚人303が使用した武器は？,レーザーガン,爆弾,テレパシー,ナイフ,C
297,ウルトラセブン,ウルトラセブンのエピソード「最終決戦」で、ゴドラ星人が使った戦術は？,地球防衛軍への奇襲攻撃,地球に偽情報を流す,ウルトラセブンを罠にかける,地球全体を封鎖する,C
298,ウルトラセブン,ウルトラセブンのエピソード「湖のひみつ」で、ガンダーが湖に潜んでいた理由は何か？,地球を侵略するため,湖がガンダーの故郷だから,人類を監視するため,エネルギーを蓄えるため,B
299,ウルトラセブン,. ウルトラセブンのエピソード「ノンマルトの使者」で、ノンマルトと地球人との対立が始まった原因は？,地球人がノンマルトの領土を侵害したため,ノンマルトが地球の支配を企てたため,宇宙の秩序が乱れたため,誤解による衝突,A
300,ウルトラマンティガ,ウルトラマンティガの物語が始まる時代設定はどのくらい未来の世界か？,10年後,30年後,100年後,200年後,C
301,ウルトラマンティガ,ウルトラマンティガが最初に登場したエピソードのタイトルは？,光の勇者,巨人の復活,闇からの使者,新たなる希望,B
302,ウルトラマンティガ,ウルトラマンティガの変身者であるマドカ・ダイゴは、どの組織に所属しているか？,GUTS,MAC,ZAT,TPC,A
303,ウルトラマンティガ,ウルトラマンティガのカラータイマーが点滅する理由は？,エネルギー不足,戦闘ダメージ,敵の攻撃,変身時間が切れる,A
304,ウルトラマンティガ,ウルトラマンティガのタイプチェンジのうち、パワータイプの特徴は何か？,スピードが上がる,防御力が上がる,攻撃力が上がる,飛行能力が向上する,C
305,ウルトラマンティガ,ウルトラマンティガのパワータイプの主な必殺技は何か？,ゼペリオン光線,デラシウム光流,ランバルト光弾,メガトンパンチ,B
306,ウルトラマンティガ,ウルトラマンティガの「マルチタイプ」は、どのような特徴を持っているか？,バランスが取れた能力,防御特化,攻撃特化,スピード特化,A
307,ウルトラマンティガ,ティガのライバルである闇の巨人たちの名前は何か？,カミーラ、ダーラム、ヒュドラ,バルタン星人、ゼットン、エレキング,レギオス、ダークバルタン、ギガス,ダイナ、ガイア、コスモス,A
308,ウルトラマンティガ,ウルトラマンティガが人間に変身できる理由は何か？,人間の強い意志を感じたから,人類との共存を望んだから,地球の環境に適応するため,GUTSの技術によるもの,B
309,ウルトラマンティガ,ウルトラマンティガのエピソード「光の超戦士」で、ティガはどの怪獣と戦ったか？,ガタノゾーア,ゴルザ,メルバ,キリエロイド,D
310,ウルトラマンティガ,ウルトラマンティガのデザインには、どのような特徴があるか？,銀色のボディに赤と青のライン,黄金のボディと黒い模様,白と黒のストライプ,全身が黒一色,A
311,ウルトラマンティガ,ティガがパワータイプにチェンジする際に使用するアイテムは何か？,ウルトラブレスレット,ティガスパーク,バトルナイザー,ゼペリオンシールド,B
312,ウルトラマンティガ,ウルトラマンティガの最終回で、ティガが変身できなくなった理由は何か？,エネルギーが枯渇したから,敵の呪いによるもの,ダイゴの意志が弱まったから,闇の力に負けたから,C
313,ウルトラマンティガ,ウルトラマンティガの放送開始年は？,1995年,1996年,1997年,1998年,B
314,ウルトラマンティガ,ウルトラマンティガの劇場版作品のタイトルは何か？,ウルトラマンティガ THE FINAL ODYSSEY,ウルトラマンティガ 地球を守る戦士,ウルトラマンティガ 光の巨人伝説,ウルトラマンティガ 勇者の復活,A
315,ウルトラマンティガ,ティガが戦った「キリエロイド」は何を司る怪獣か？,火,闇,風,水,B
316,ウルトラマンティガ,ウルトラマンティガの登場により、ウルトラシリーズに初めて導入された要素は何か？,デジタル合成技術,カラータイマー,人間と融合したウルトラマン,タイプチェンジ能力,D
317,ウルトラマンティガ,ウルトラマンティガの必殺技である「ゼペリオン光線」は、どのタイプで使用できるか？,パワータイプ,マルチタイプ,スカイタイプ,全てのタイプ,B
318,ウルトラマンティガ,ウルトラマンティガのエピソード「最終三部作」で、ティガと最後に戦った敵の名前は？,ガタノゾーア,カミーラ,メルバ,デモンゾーア,A
319,ウルトラマンティガ,ウルトラマンティガのスカイタイプが得意とする戦術は？,高速飛行,重力制御,忍耐力,超音速移動,A
320,ウルトラマンティガ,ウルトラマンティガのエピソード「暗黒の支配者」で、ティガはどの技を使ってガタノゾーアを倒したか？,ゼペリオン光線,デラシウム光流,ゼペリオン光波,グリッターティガ光線,D
321,ウルトラマンティガ,ウルトラマンティガのスカイタイプで使われる必殺技は？,ゼペリオン光線,ランバルト光弾,デラシウム光流,サイクロンビーム,D
322,ウルトラマンティガ,ウルトラマンティガのエピソード「闇の支配者」で、グリッターティガが現れるきっかけとなったのは？,ダイゴの覚悟,光の巨人の力,ガタノゾーアの攻撃,子供たちの祈り,D
323,ウルトラマンティガ,ウルトラマンティガが倒した怪獣ゴルザの特徴は何か？,火を操る,光を吸収する,影を操る,音波を操る,B
324,ウルトラマンティガ,ウルトラマンティガの劇場版「THE FINAL ODYSSEY」で、ティガの力を狙ったのは誰か？,ダーラム,カミーラ,ヒュドラ,ゾグ,B
325,ウルトラマンティガ,ウルトラマンティガが「闇の巨人」カミーラと戦ったのは、どのエピソード？,巨人の復活,闇の支配者,光の使者,最終決戦,B
326,ウルトラマンティガ,ウルトラマンティガの放送が開始された際、ウルトラシリーズに復活した要素は何か？,カラータイマー,タイプチェンジ,怪獣墓場,防衛チーム,D
327,ウルトラマンティガ,ティガが登場する地球防衛チームの名前は？,GUTS,MAC,TDF,GUYS,A
328,ウルトラマンティガ,ウルトラマンティガのエピソード「人類滅亡の日」で、ティガが戦った敵は誰？,メルバ,キリエロイド,ガタノゾーア,ゴルザ,C
329,ウルトラマンティガ,ウルトラマンティガの「スカイタイプ」は、どのような特徴を持っているか？,防御力が高い,スピードが速い,攻撃力が高い,エネルギー回復が速い,B
330,ウルトラマンティガ,ウルトラマンティガのスカイタイプで使われるもう一つの技は？,サイクロン光波,ライトニングカッター,ウルトラスピン,ウルトラフラッシュ,B
331,ウルトラマンティガ,ウルトラマンティガが戦った怪獣「ゴルザ」は、どのエピソードで登場するか？,暗黒の支配者,光の巨人,闇の使者,地上破壊のゴルザ,D
332,ウルトラマンティガ,ウルトラマンティガの劇場版で、カミーラがティガに対して使用した最強技は？,ダークサンダー,クリムゾンミスト,ダークネスストーム,シャドウビーム,C
333,ウルトラマンティガ,ウルトラマンティガの「マルチタイプ」で、ゼペリオン光線の次に強力な技は？,ウルトラスラッシュ,ゼロワンショット,ウルトラフラッシュ,ゼペリオンソード,A
334,ウルトラマンティガ,ウルトラマンティガの劇場版「THE FINAL ODYSSEY」で、ダイゴがティガに再び変身するために必要だったものは？,ウルトラアイ,子供たちの願い,ティガスパーク,光の意志,B
335,ウルトラマンティガ,ウルトラマンティガのエピソード「地球の危機」で、ティガが初めて登場した瞬間はどの場面か？,ゴルザとの戦い,人々の前で現れた時,ダイゴが初めてティガに変身した時,闇の巨人との戦い,C
336,ウルトラマンティガ,ウルトラマンティガが登場する世界で、「地球防衛軍」の本部がある都市は？,東京,パリ,ロサンゼルス,ニューヨーク,A
337,ウルトラマンティガ,ウルトラマンティガの最終回で、ガタノゾーアを倒した後、ダイゴが選んだ道は？,再びウルトラマンになる,GUTSを辞める,平和な生活を送る,闇の巨人と戦い続ける,C
338,ウルトラマンティガ,ウルトラマンティガの登場するGUTSの主力戦闘機は？,ガッツウィング,スペースセブン,スカイガード,ウルトラホーク,A
339,ウルトラマンティガ,ウルトラマンティガが「光の巨人」として覚醒した理由は？,古代の封印が解かれたため,ダイゴの強い意志によるもの,GUTSの技術によるもの,怪獣による破壊が引き金となった,B
340,ウルトラマンティガ,ウルトラマンティガのエピソード「闇の支配者」で、ティガがガタノゾーアとの最終決戦に臨む際に使用した新たな形態は？,マルチタイプ,グリッターティガ,パワータイプ,ダークティガ,B
341,ウルトラマンティガ,ウルトラマンティガの放送当時、オープニングテーマを歌ったのは誰？,宇多田ヒカル,影山ヒロノブ,大黒摩季,V6,D
342,ウルトラマンティガ,ウルトラマンティガのエピソード「怪獣無法地帯」で、ティガが戦った敵は？,ゴルザ,キリエロイド,メルバ,ネオザルス,D
343,ウルトラマンティガ,ウルトラマンティガの劇場版「THE FINAL ODYSSEY」で、ティガが使用した究極の光の技は？,ゼペリオン光線,グリッター光線,ランバルト光弾,グリッタースラッシュ,B
344,ウルトラマンティガ,ウルトラマンティガのエピソード「降臨する大地」で、ティガは何に変身するための力を得たか？,ウルトラマンゼロ,グリッターティガ,スカイタイプ,ダークティガ,B
345,ウルトラマンティガ,ウルトラマンティガが最初に戦った怪獣は誰？,ガタノゾーア,ゴルザ,メルバ,ネオザルス,B
346,ウルトラマンティガ,ウルトラマンティガの変身者であるマドカ・ダイゴは、GUTS内でどの役職についているか？,隊長,パイロット,科学者,戦闘員,B
347,ウルトラマンティガ,ウルトラマンティガのエピソード「死闘！ティガ対ガタノゾーア」で、ティガがガタノゾーアを倒すために変身したのはどの形態か？,マルチタイプ,パワータイプ,スカイタイプ,グリッターティガ,D
348,ウルトラマンティガ,ウルトラマンティガの劇場版「THE FINAL ODYSSEY」で、ティガがガタノゾーアに勝利するために必要だったのは？,勇気,力,光の意思,仲間の助け,C
349,ウルトラマンティガ,ウルトラマンティガのエピソード「キリエル人来襲」で、ティガが戦った敵はどのような力を持っていたか？,火を操る,闇を操る,時間を操る,空間を操る,B
